State Abbreviation,State Name,State FIPS Code
OH,Ohio,39
MI,Michigan,26
IN,Indiana,18
WI,Wisconsin,55
IL,Illinois,17
KY,Kentucky,21
TN,Tennessee,47
MS,Mississippi,28
AL,Alabama,1
NY,New York,36
NJ,New Jersey,34
PA,Pennsylvania,42
AZ,Arizona,4
UT,Utah,49
CO,Colorado,8
WY,Wyoming,56
ID,Idaho,16
NM,New Mexico,35
MT,Montana,30
NV,Nevada,32
RI,Rhode Island,44
CT,Connecticut,9
MA,Massachusetts,25
ME,Maine,23
NH,New Hampshire,33
VT,Vermont,50
HI,Hawaii,15
AK,Alaska,2
WA,Washington,53
CA,California,6
OR,Oregon,41
DE,Delaware,10
MD,Maryland,24
FL,Florida,12
VA,Virginia,51
SC,South Carolina,45
GA,Georgia,13
WV,West Virginia,54
DC,District of Columbia,11
NC,North Carolina,37
MN,Minnesota,27
NE,Nebraska,31
SD,South Dakota,46
ND,North Dakota,38
IA,Iowa,19
MO,Missouri,29
KS,Kansas,20
LA,Louisiana,22
AR,Arkansas,5
OK,Oklahoma,40
TX,Texas,48
